Source	Size
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/Math.scala	1676
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/HtmlStyles.scala	1667
https:/raw.githubusercontent.com/scala/v2.13.1/collection/mutable/ListBuffer.scala	1666
https:/raw.githubusercontent.com/suzaku-io/boopickle/v1.3.1/boopickle/IdentList.scala	1655
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/WrappedString.scala	1634
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Message.scala	1606
https:/raw.githubusercontent.com/scala/v2.13.1/collection/mutable/StringBuilder.scala	1596
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Css.scala	1593
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/CallbackKleisli.scala	1575
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Label.scala	1550
file:/shipreq/base-util/shipreq/base/util/OpResult.scala	1525
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Cond.scala	1472
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/TagMod.scala	1453
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/HtmlTags.scala	1422
https:/raw.githubusercontent.com/japgolly/univeq/v1.2.0/japgolly/univeq/UnivEq.scala	1416
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/Builder.scala	1415
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/Packages.scala	1415
https:/raw.githubusercontent.com/suzaku-io/boopickle/v1.3.1/boopickle/CodecSize.scala	1415
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/Reusability.scala	1408
file:/shipreq/webapp-base-member/shipreq/webapp/base/ui/TimeAgo.scala	1406
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/component/Scala.scala	1384
file://localhome/doeraene/projects/scalajs-java-time/java/time/LocalTime.scala	1381
