Source	Size
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Pseudo.scala	8747
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/Project.scala	8735
https:/raw.githubusercontent.com/scala/v2.13.1/collection/IndexedSeqView.scala	8701
file:/shipreq/webapp-base-member/shipreq/webapp/base/sort/Sorter.scala	8700
file:/shipreq/webapp-base-member/shipreq/webapp/base/feature/PreviewFeature.scala	8686
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqtable/SelectionCtrls.scala	8686
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/Throwables.scala	8677
[EOLs]	8659
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/state/Global.scala	8568
file://Users/mathias/Documents/projects/parboiled2/parboiled-core/org/parboiled2/CharPredicate.scala	8435
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqtable/NewForm.scala	8387
file:/shipreq/base-util/shipreq/base/util/IsoBool.scala	8359
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqtable/Row.scala	8210
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/CtorType.scala	8160
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/editor/Editability.scala	7893
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqdetail/Row.scala	7892
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/binary/SafePickler.scala	7808
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/Callback.scala	7710
https:/raw.githubusercontent.com/scala/v2.13.1/collection/View.scala	7558
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqtable/Expansions.scala	7552
file:/shipreq/webapp-base-member/shipreq/webapp/base/feature/autocomplete/ProjectStrategies.scala	7539
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/reqtypes/CustomReqTypeEditor.scala	7521
https:/raw.githubusercontent.com/japgolly/nyaya/v0.9.0/nyaya/prop/Logic.scala	7503
